Fpath,MaxIndex
20190726_DATA/ZA-c-p_021/00000001.DCM,120
20190726_DATA/ZA-c-p_021/00000002.DCM,120
20190726_DATA/ZA-c-p_021/00000003.DCM,120
20190726_DATA/ZA-c-p_021/00000004.DCM,120
20190726_DATA/ZA-c-p_021/00000005.DCM,120
20190726_DATA/ZA-c-p_021/00000006.DCM,120
20190726_DATA/ZA-c-p_021/00000007.DCM,120
20190726_DATA/ZA-c-p_021/00000008.DCM,120
20190726_DATA/ZA-c-p_021/00000009.DCM,120
20190726_DATA/ZA-c-p_021/00000010.DCM,120
20190726_DATA/ZA-c-p_021/00000011.DCM,120
20190726_DATA/ZA-c-p_021/00000012.DCM,120
20190726_DATA/ZA-c-p_021/00000013.DCM,120
20190726_DATA/ZA-c-p_021/00000014.DCM,120
20190726_DATA/ZA-c-p_021/00000015.DCM,120
20190726_DATA/ZA-c-p_021/00000016.DCM,120
20190726_DATA/ZA-c-p_021/00000017.DCM,120
20190726_DATA/ZA-c-p_021/00000018.DCM,120
20190726_DATA/ZA-c-p_021/00000019.DCM,120
20190726_DATA/ZA-c-p_021/00000020.DCM,120
20190726_DATA/ZA-c-p_021/00000021.DCM,120
20190726_DATA/ZA-c-p_021/00000022.DCM,120
20190726_DATA/ZA-c-p_021/00000023.DCM,120
20190726_DATA/ZA-c-p_021/00000024.DCM,120
20190726_DATA/ZA-c-p_021/00000025.DCM,120
20190726_DATA/ZA-c-p_021/00000026.DCM,120
20190726_DATA/ZA-c-p_021/00000027.DCM,120
20190726_DATA/ZA-c-p_021/00000028.DCM,120
20190726_DATA/ZA-c-p_021/00000029.DCM,120
20190726_DATA/ZA-c-p_021/00000030.DCM,120
20190726_DATA/ZA-c-p_021/00000031.DCM,120
20190726_DATA/ZA-c-p_021/00000032.DCM,120
20190726_DATA/ZA-c-p_021/00000033.DCM,120
20190726_DATA/ZA-c-p_021/00000034.DCM,120
20190726_DATA/ZA-c-p_021/00000035.DCM,120
20190726_DATA/ZA-c-p_021/00000036.DCM,120
20190726_DATA/ZA-c-p_021/00000037.DCM,120
20190726_DATA/ZA-c-p_021/00000038.DCM,120
20190726_DATA/ZA-c-p_021/00000039.DCM,120
20190726_DATA/ZA-c-p_021/00000040.DCM,120
20190726_DATA/ZA-c-p_021/00000041.DCM,120
20190726_DATA/ZA-c-p_021/00000042.DCM,120
20190726_DATA/ZA-c-p_021/00000043.DCM,120
20190726_DATA/ZA-c-p_021/00000044.DCM,120
20190726_DATA/ZA-c-p_021/00000045.DCM,120
20190726_DATA/ZA-c-p_021/00000046.DCM,120
20190726_DATA/ZA-c-p_021/00000047.DCM,120
20190726_DATA/ZA-c-p_021/00000048.DCM,120
20190726_DATA/ZA-c-p_021/00000049.DCM,120
20190726_DATA/ZA-c-p_021/00000050.DCM,120
20190726_DATA/ZA-c-p_021/00000051.DCM,120
20190726_DATA/ZA-c-p_021/00000052.DCM,120
20190726_DATA/ZA-c-p_021/00000053.DCM,120
20190726_DATA/ZA-c-p_021/00000054.DCM,120
20190726_DATA/ZA-c-p_021/00000055.DCM,120
20190726_DATA/ZA-c-p_021/00000056.DCM,120
20190726_DATA/ZA-c-p_021/00000057.DCM,120
20190726_DATA/ZA-c-p_021/00000058.DCM,120
20190726_DATA/ZA-c-p_021/00000059.DCM,120
20190726_DATA/ZA-c-p_021/00000060.DCM,120
20190726_DATA/ZA-c-p_021/00000061.DCM,120
20190726_DATA/ZA-c-p_021/00000062.DCM,120
20190726_DATA/ZA-c-p_021/00000063.DCM,120
20190726_DATA/ZA-c-p_021/00000064.DCM,120
20190726_DATA/ZA-c-p_021/00000065.DCM,120
20190726_DATA/ZA-c-p_021/00000066.DCM,120
20190726_DATA/ZA-c-p_021/00000067.DCM,120
20190726_DATA/ZA-c-p_021/00000068.DCM,120
20190726_DATA/ZA-c-p_021/00000069.DCM,120
20190726_DATA/ZA-c-p_021/00000070.DCM,120
20190726_DATA/ZA-c-p_021/00000071.DCM,120
20190726_DATA/ZA-c-p_021/00000072.DCM,120
20190726_DATA/ZA-c-p_021/00000073.DCM,120
20190726_DATA/ZA-c-p_021/00000074.DCM,120
20190726_DATA/ZA-c-p_021/00000075.DCM,120
20190726_DATA/ZA-c-p_021/00000076.DCM,120
20190726_DATA/ZA-c-p_021/00000077.DCM,120
20190726_DATA/ZA-c-p_021/00000078.DCM,120
20190726_DATA/ZA-c-p_021/00000079.DCM,120
20190726_DATA/ZA-c-p_021/00000080.DCM,120
20190726_DATA/ZA-c-p_021/00000081.DCM,120
20190726_DATA/ZA-c-p_021/00000082.DCM,120
20190726_DATA/ZA-c-p_021/00000083.DCM,120
20190726_DATA/ZA-c-p_021/00000084.DCM,120
20190726_DATA/ZA-c-p_021/00000085.DCM,120
20190726_DATA/ZA-c-p_021/00000086.DCM,120
20190726_DATA/ZA-c-p_021/00000087.DCM,120
20190726_DATA/ZA-c-p_021/00000088.DCM,120
20190726_DATA/ZA-c-p_021/00000089.DCM,120
20190726_DATA/ZA-c-p_021/00000090.DCM,120
20190726_DATA/ZA-c-p_021/00000091.DCM,120
20190726_DATA/ZA-c-p_021/00000092.DCM,120
20190726_DATA/ZA-c-p_021/00000093.DCM,120
20190726_DATA/ZA-c-p_021/00000094.DCM,120
20190726_DATA/ZA-c-p_021/00000095.DCM,120
20190726_DATA/ZA-c-p_021/00000096.DCM,120
