epoch,loss,mean_l2
0,1.8852490441129435,0.012261706737700693
1,1.6828799249468656,0.008739879188049691
2,1.6751781918980164,0.008001487162714581
3,1.686199458328304,0.007636119750848504
4,1.642830873841613,0.007463374078761021
5,1.6459818556493613,0.007265801939580828
6,1.618403173390998,0.007174795223389718
7,1.6143281976414832,0.006940500959024146
8,1.6354521377542555,0.006858174922458713
9,1.6384570982315418,0.0068872665609161126
10,1.618607471666194,0.006843277788643929
11,1.6124527684308045,0.006828419723477067
12,1.608618827721733,0.006610113460258077
13,1.579597371171905,0.006606722692727722
14,1.6076043371037143,0.006593148430031221
15,1.5893459204280087,0.0066009752298695
16,1.6048476711145827,0.006569373652916689
17,1.5836432296906087,0.006581658762021331
18,1.5918330364669395,0.006464924525816988
19,1.5838824702389784,0.006476529567963988
20,1.5746112393984206,0.006388741470852797
21,1.574904561034562,0.006327379973287639
22,1.5743616776454528,0.00629822898550251
23,1.5759952342503645,0.0062892921220112355
24,1.5885782333432181,0.006249566350073634
25,1.565515022149215,0.006302434857780521
26,1.5648909186159012,0.006209661111196556
27,1.579450319769893,0.006264367007324575
28,1.5659006579592,0.006153787369068885
29,1.5627729456222084,0.00617503880013796
30,1.5813157941002982,0.006230226140181486
31,1.5792620006299045,0.006144785838793741
32,1.5783366532564558,0.00613193673471803
33,1.5726124223724633,0.006081344354070238
34,1.5761946078727052,0.006067722326269986
35,1.5583773848516393,0.006092122533008102
36,1.5902037059612752,0.0060828543687290685
37,1.5747782055609274,0.006067911942286939
38,1.5410517523307805,0.006107544318683421
39,1.5777340955357941,0.006082491908853598
40,1.568868361799988,0.005971270651406471
41,1.5890071497897045,0.006022023968398571
42,1.53754105335451,0.005990151322223698
43,1.5772550302592598,0.006052750099432874
44,1.5667739894742734,0.006071861292503848
45,1.5893166251727286,0.005966543372120157
46,1.5443964281281821,0.005920177975527646
47,1.5803485961330779,0.005931475614793763
48,1.55074457229664,0.005972802206883145
49,1.5437106852179134,0.005980345684722494
50,1.5798639442553748,0.005939292871017033
51,1.5669502705894822,0.0058608077774615856
52,1.5714749519612483,0.005883685768161495
53,1.5703301769547642,0.005875859581366815
54,1.565735389756051,0.005885018530213346
55,1.5610159013921983,0.005796145887533511
56,1.562460085216737,0.0058122700911372996
57,1.5846822512671186,0.005928500952115837
58,1.5661878204404913,0.005931815830476697
59,1.5404600040538947,0.005868807051610407
60,1.5631114766248408,0.005892111308190141
61,1.5572181315085218,0.005948480720159949
62,1.57037172275729,0.0059120004025758725
